Id,SalePrice
1461,126552.41
1462,162101.94
1463,183217.77
1464,193567.23
1465,207817.16
1466,180290.16
1467,172358.22
1468,164309.86
1469,177000.22
1470,119387.58
1471,213587.33
1472,96190.94
1473,98526.21
1474,157765.08
1475,143218.5
1476,357532.03
1477,275895.44
1478,294586.03
1479,176004.06
1480,501585.8
1481,321130.6
1482,205686.33
1483,166674.05
1484,163617.81
1485,180669.38
1486,201407.27
1487,333244.53
1488,251657.86
1489,213895.12
1490,212819.12
1491,185783.52
1492,89276.27
1493,184330.97
1494,283530.97
1495,278427.88
1496,219571.33
1497,175004.75
1498,154794.5
1499,152140.47
1500,148476.67
1501,171583.97
1502,151059.64
1503,300706.2
1504,219356.97
1505,224283.42
1506,192538.39
1507,221946.48
1508,202524.17
1509,170940.39
1510,151767.2
1511,144787.31
1512,165409.03
1513,151581.48
1514,167967.61
1515,187310.42
1516,177122.1
1517,162243.44
1518,117066.32
1519,225146.55
1520,136852.61
1521,143986.8
1522,185141.6
1523,104346.07
1524,131913.27
1525,131026.47
1526,129723.19
1527,104240.336
1528,132413.66
1529,149041.03
1530,156590.16
1531,105273.4
1532,89586.85
1533,145658.83
1534,120097.82
1535,145738.1
1536,108968.17
1537,76352.3
1538,181458.14
1539,225022.23
1540,96706.375
1541,146552.55
1542,143363.45
1543,189309.84
1544,87429.77
1545,104884.55
1546,130141.266
1547,142387.9
1548,136966.52
1549,121091.04
1550,157134.03
1551,98162.375
1552,139283.81
1553,148120.69
1554,121967.57
1555,157406.39
1556,105758.92
1557,121969.55
1558,95422.34
1559,97260.64
1560,134388.14
1561,139010.86
1562,129254.75
1563,115519.27
1564,149377.4
1565,154975.27
1566,251889.73
1567,71931.81
1568,229394.27
1569,154216.6
1570,139429.44
1571,134409.62
1572,153748.84
1573,237780.17
1574,81574.93
1575,234077.81
1576,234207.02
1577,197328.88
1578,148675.08
1579,143012.03
1580,184673.58
1581,144696.56
1582,126539.67
1583,332907.34
1584,237490.39
1585,140984.12
1586,79073.63
1587,94552.01
1588,143877.1
1589,104682.2
1590,140994.61
1591,97440.01
1592,98628.99
1593,117718.86
1594,111273.62
1595,91607.81
1596,238954.0
1597,175615.42
1598,202252.44
1599,171219.55
1600,159380.34
1601,70108.375
1602,118310.016
1603,100077.42
1604,271900.6
1605,238910.55
1606,171437.27
1607,185897.53
1608,216218.34
1609,184826.42
1610,152718.9
1611,154175.64
1612,183631.66
1613,166128.84
1614,125964.195
1615,89933.73
1616,71741.67
1617,87601.97
1618,132919.2
1619,131327.06
1620,137307.78
1621,118105.89
1622,137412.16
1623,287744.38
1624,220763.1
1625,128845.81
1626,168520.28
1627,195845.38
1628,296114.1
1629,179874.38
1630,373396.75
1631,227395.75
1632,247748.39
1633,170481.11
1634,188877.92
1635,184349.02
1636,157560.89
1637,185670.05
1638,183563.12
1639,181744.22
1640,263037.28
1641,164191.31
1642,222265.1
1643,217453.88
1644,219273.55
1645,185901.03
1646,156090.62
1647,156845.83
1648,136883.7
1649,139829.88
1650,112445.234
1651,125708.99
1652,93246.87
1653,95861.266
1654,150383.17
1655,153653.81
1656,146668.45
1657,150490.98
1658,149218.9
1659,154600.9
1660,156969.62
1661,486082.25
1662,429392.9
1663,398135.84
1664,447295.38
1665,311142.16
1666,332407.34
1667,387025.28
1668,321086.47
1669,300219.7
1670,335422.75
1671,261548.23
1672,516800.5
1673,311957.4
1674,250057.97
1675,186173.62
1676,193897.83
1677,221582.97
1678,494524.9
1679,396132.6
1680,322625.62
1681,262397.6
1682,289997.22
1683,181533.62
1684,162398.0
1685,182976.7
1686,164165.25
1687,168469.39
1688,185317.56
1689,190288.97
1690,190134.48
1691,177216.56
1692,265556.88
1693,173598.3
1694,189394.4
1695,166747.5
1696,271843.75
1697,183592.88
1698,384633.97
1699,314250.3
1700,230229.56
1701,268456.44
1702,277698.47
1703,257607.86
1704,314200.75
1705,232742.89
1706,453140.9
1707,228790.5
1708,215609.53
1709,273914.47
1710,226755.92
1711,251542.97
1712,216712.52
1713,264298.34
1714,227082.66
